Year,China,France,India,North Korea,Pakistan,Russia,United Kingdom,United States
1945,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,6.3,NA,NA,NA,NA,4.2,4.36
1951,NA,5.86,NA,NA,NA,NA,4.01,4.23
1952,NA,5.45,NA,NA,NA,NA,3.82,4.11
1953,NA,5.07,NA,NA,NA,NA,3.65,3.99
1954,NA,4.73,NA,NA,NA,NA,3.49,3.88
1955,NA,4.41,NA,NA,NA,NA,3.35,3.78
1956,NA,4.13,NA,NA,NA,NA,3.25,3.69
1957,NA,3.86,NA,NA,NA,NA,3.17,3.63
1958,NA,3.61,NA,NA,NA,NA,3.11,3.58
1959,NA,3.39,NA,NA,NA,NA,3.06,3.51
1960,NA,3.2,NA,NA,NA,NA,3.02,3.45
1961,NA,3.05,NA,NA,NA,NA,2.97,3.39
1962,NA,2.91,NA,NA,NA,NA,2.92,3.32
1963,NA,2.79,NA,NA,NA,NA,2.85,3.25
1964,NA,2.66,NA,NA,26.93,NA,2.78,3.19
1965,NA,2.56,NA,NA,25.83,NA,2.7,3.12
1966,NA,2.47,NA,NA,24.82,NA,2.63,3.05
1967,NA,2.4,NA,NA,23.9,NA,2.57,2.98
1968,NA,2.34,24.95,NA,23.08,NA,2.52,2.9
1969,NA,2.27,24.6,NA,22.34,NA,2.47,2.82
1970,NA,2.19,24.24,NA,21.66,NA,2.42,2.73
1971,NA,2.11,23.86,NA,21.08,4.41,2.38,2.64
1972,11.73,2.03,23.46,NA,20.54,4.23,2.31,2.54
1973,11.11,1.95,23.04,NA,20.06,4.07,2.24,2.44
1974,10.5,1.88,22.56,NA,19.63,3.92,2.16,2.34
1975,9.89,1.82,22.05,NA,19.27,3.78,2.08,2.23
1976,9.29,1.77,21.5,NA,18.93,3.66,2,2.13
1977,8.72,1.71,20.92,NA,18.63,3.57,1.92,2.04
1978,8.22,1.66,20.31,NA,18.35,3.48,1.84,1.95
1979,7.78,1.59,19.7,NA,18.08,3.42,1.75,1.87
1980,7.37,1.54,19.11,NA,17.81,3.34,1.66,1.8
1981,7.03,1.49,18.55,NA,17.55,3.27,1.58,1.73
1982,6.77,1.43,18.02,NA,17.28,3.21,1.51,1.67
1983,6.55,1.38,17.52,NA,16.99,3.15,1.45,1.61
1984,6.4,1.33,17.07,NA,16.7,3.08,1.39,1.57
1985,6.28,1.28,16.63,NA,16.4,2.99,1.36,1.53
1986,6.21,1.24,16.18,NA,16.1,2.91,1.32,1.5
1987,6.18,1.2,15.73,NA,15.82,2.83,1.28,1.47
1988,6.16,1.17,15.28,NA,15.55,2.75,1.24,1.44
1989,6.13,1.14,14.84,NA,15.31,2.69,1.18,1.41
1990,6.08,1.1,14.42,5.09,15.07,2.68,1.12,1.36
1991,5.98,1.05,14.02,5.67,14.85,2.68,1.05,1.33
1992,5.86,1,13.64,6.37,14.63,2.69,0.99,1.28
1993,5.7,0.93,13.26,7.1,14.39,2.71,0.94,1.24
1994,5.51,0.87,12.89,7.8,14.13,2.73,0.9,1.21
1995,5.29,0.82,12.52,8.37,13.84,2.7,0.87,1.17
1996,5.08,0.77,12.13,8.69,13.52,2.65,0.85,1.13
1997,4.86,0.73,11.73,8.69,13.21,2.6,0.83,1.1
1998,4.63,0.71,11.32,8.36,12.88,2.54,0.82,1.07
1999,4.38,0.69,10.91,7.75,12.55,2.47,0.8,1.05
2000,4.12,0.68,10.51,6.93,12.25,2.39,0.78,1.02
2001,3.84,0.66,10.1,6.03,11.93,2.29,0.77,1.01
2002,3.56,0.64,9.7,5.21,11.65,2.17,0.76,0.99
2003,3.28,0.61,9.31,4.54,11.39,2.03,0.75,0.98
2004,3,0.58,8.92,4.1,11.15,1.9,0.74,0.97
2005,2.75,0.57,8.54,3.87,10.98,1.77,0.72,0.96
2006,2.53,0.55,8.16,3.8,10.75,1.65,0.7,0.94
2007,2.32,0.54,7.8,3.79,10.58,1.55,0.69,0.92
2008,2.17,0.52,7.41,3.74,10.41,1.46,0.67,0.9
2009,2,0.52,7.06,3.64,10.25,1.39,0.64,0.89
2010,1.87,0.51,6.69,3.48,10.09,1.35,0.62,0.86
2011,1.74,0.51,6.33,3.27,9.92,1.3,0.59,0.85
2012,1.63,0.5,6,3.05,9.72,1.26,0.57,0.84
2013,1.52,0.5,5.66,2.84,9.5,1.22,0.55,0.83
2014,1.42,0.49,5.35,2.67,9.26,1.17,0.54,0.82
2015,1.33,0.5,5.05,2.51,9.02,1.11,0.53,0.81
2016,1.24,0.5,4.76,2.39,8.76,1.04,0.52,0.8
2017,1.17,0.5,4.52,2.27,8.53,0.99,0.51,0.79
